Country,Years,Co2_emissions,mortality,income ,life_expectancy
Albania,1990,1.31,38.9,3.51,72.6
Albania,1991,0.775,37.4,3.28,73.2
Albania,1992,0.731,35.9,3.61,73.8
Albania,1993,0.612,34.5,3.93,74.6
Albania,1994,0.67,33.2,4.49,74.6
Albania,1995,0.651,31.7,4.93,74.5
Albania,1996,0.498,30.3,4.42,72.9
Albania,1997,0.563,28.8,4.84,74.8
Albania,1998,0.956,27.4,5.49,75.1
Albania,1999,0.966,25.9,5.91,75.4
Albania,2000,1.03,24.5,6.46,76
Albania,2001,1.2,23.1,6.78,75.9
Albania,2002,1.38,21.8,7.18,75.6
Albania,2003,1.34,20.4,7.61,75.8
Albania,2004,1.38,19.2,8.07,76.2
Albania,2005,1.27,17.9,8.6,76.9
Albania,2006,1.29,16.7,9.18,77.5
Albania,2007,1.46,15.5,9.94,77.6
Albania,2008,1.47,14.4,10.3,78
Albania,2009,1.56,13.3,10.8,78.1
Albania,2010,1.79,12.3,11.1,78.1
Albania,2011,1.69,11.4,11.3,78.2
Albania,2012,1.69,10.7,11.4,78.3
Albania,2013,1.9,10.1,11.6,78.2
Albania,2014,1.6,9.6,11.9,78.1
Albania,2015,1.57,9.27,12.3,78.2
Albania,2016,1.61,9.02,12.8,78.3
Albania,2017,1.59,8.82,13.4,78.4
Andorra,1990,7.18,10.2,31.3,79.1
Andorra,1991,6.91,9.63,30.4,79.2
Andorra,1992,6.74,9.09,29.1,79.3
Andorra,1993,6.49,8.58,29,79.5
Andorra,1994,6.66,8.11,29.2,79.8
Andorra,1995,7.06,7.69,30.4,80
Andorra,1996,7.24,7.32,33.2,80.2
Andorra,1997,7.66,6.97,34.5,80.4
Andorra,1998,7.98,6.68,35.7,80.6
Andorra,1999,8.02,6.41,35.4,80.8
Andorra,2000,7.79,6.16,35.5,80.9
Andorra,2001,7.59,5.93,35.6,81.1
Andorra,2002,7.32,5.71,38.6,81.2
Andorra,2003,7.36,5.49,40.6,81.3
Andorra,2004,7.3,5.27,44.5,81.4
Andorra,2005,6.75,5.05,47.8,81.5
Andorra,2006,6.52,4.84,48.6,81.7
Andorra,2007,6.43,4.62,46.3,81.8
Andorra,2008,6.12,4.39,46.7,81.8
Andorra,2009,6.12,4.18,43.6,81.8
Andorra,2010,5.87,3.98,46.9,81.9
Andorra,2011,5.92,3.79,46.9,81.9
Andorra,2012,5.9,3.61,48.9,82
Andorra,2013,5.83,3.43,50.2,82
Andorra,2014,5.97,3.27,52.1,82
Andorra,2015,6.07,3.14,53.9,82.1
Andorra,2016,6.27,3.01,55.6,82.1
Andorra,2017,6.12,2.89,57.6,82.1
United Arab Emirates,1990,29.3,15.7,50.3,68.7
United Arab Emirates,1991,28.2,15,50.3,68.8
United Arab Emirates,1992,30.2,14.3,49.8,68.8
United Arab Emirates,1993,31.7,13.7,52.8,68.7
United Arab Emirates,1994,29,13.2,55.9,68.8
United Arab Emirates,1995,28.7,12.7,58.3,68.9
United Arab Emirates,1996,27.4,12.3,62.5,69
United Arab Emirates,1997,28.7,11.9,62.5,69.2
United Arab Emirates,1998,26.2,11.5,64.3,69.2
United Arab Emirates,1999,35.7,11.2,71.2,69.1
United Arab Emirates,2000,30.5,10.9,71.8,69.2
United Arab Emirates,2001,24.1,10.6,73,69.4
United Arab Emirates,2002,28.5,10.3,78.1,69.3
United Arab Emirates,2003,27.5,10,82,69.1
United Arab Emirates,2004,25,9.73,80.2,69.2
United Arab Emirates,2005,23,9.44,86.4,69.5
United Arab Emirates,2006,21.6,9.18,76.6,70
United Arab Emirates,2007,21.7,8.93,68.8,70.4
United Arab Emirates,2008,20.9,8.69,58.4,70.6
United Arab Emirates,2009,18.3,8.48,54.9,70.8
United Arab Emirates,2010,18.9,8.28,56.1,71
United Arab Emirates,2011,23.8,8.13,57.4,71.2
United Arab Emirates,2012,23.7,8,59.9,71.6
United Arab Emirates,2013,24.2,7.91,62.4,73
United Arab Emirates,2014,20.7,7.83,65.2,73.2
United Arab Emirates,2015,21.7,7.76,66.5,73.4
United Arab Emirates,2016,21.1,7.68,67.2,73.5
United Arab Emirates,2017,21.4,7.59,67,73.7
Argentina,1990,3.54,28.1,15.2,72.7
Argentina,1991,3.61,27.3,16.2,72.8
Argentina,1992,3.46,26.3,17.3,73
Argentina,1993,3.55,25.2,18.1,73.4
Argentina,1994,3.67,24.1,17.4,73.4
Argentina,1995,3.82,23.1,18.1,73.5
Argentina,1996,3.86,22.1,19.3,73.6
Argentina,1997,3.87,21.2,19.9,73.7
Argentina,1998,4.02,20.4,19,73.8
Argentina,1999,3.85,19.6,18.6,74.2
Argentina,2000,3.58,18.9,17.6,74.3
Argentina,2001,3.3,18.3,15.5,74.3
Argentina,2002,3.54,17.7,16.7,74.4
Argentina,2003,4.08,17.1,18,74.9
Argentina,2004,4.15,16.5,19.4,75.3
Argentina,2005,4.45,16.1,20.8,75.4
Argentina,2006,4.39,15.7,22.4,75.3
Argentina,2007,4.7,15.3,23.1,75.7
Argentina,2008,4.42,14.9,21.5,75.8
Argentina,2009,4.57,14.4,23.5,75.9
Argentina,2010,4.61,13.9,24.6,76
Argentina,2011,4.6,13.3,24.1,76.2
Argentina,2012,4.56,12.7,24.4,76.3
Argentina,2013,4.56,12.1,23.6,76.5
Argentina,2014,4.64,11.5,23.9,76.5
Argentina,2015,4.6,10.9,23.2,76.2
Argentina,2016,4.55,10.4,23.6,76.3
Argentina,2017,4.41,9.94,22.8,76.5
Armenia,1990,5.37,46.9,4.62,70.3
Armenia,1991,1.7,44.9,2.74,69.4
Armenia,1992,0.766,42.9,2.55,69
Armenia,1993,0.827,41,2.76,69.5
Armenia,1994,1.07,39.1,3.01,70.1
Armenia,1995,0.819,37.3,3.23,70.4
Armenia,1996,1.04,35.6,3.38,71.1
Armenia,1997,1.09,33.9,3.65,71.6
Armenia,1998,0.988,32.3,3.8,71.9
Armenia,1999,1.14,30.8,4.05,72.4
Armenia,2000,1.16,29.3,4.46,72.5
Armenia,2001,1.01,27.8,5.08,72.7
Armenia,2002,1.15,26.5,5.82,72.8
Armenia,2003,1.23,25.2,6.47,73
Armenia,2004,1.47,23.9,7.42,73
Armenia,2005,1.49,22.7,8.46,73.1
Armenia,2006,1.74,21.6,9.71,73.5
Armenia,2007,1.92,20.5,10.5,73.5
Armenia,2008,1.51,19.5,9.05,73.6
Armenia,2009,1.48,18.5,9.29,73.9
Armenia,2010,1.73,17.6,9.73,74.2
Armenia,2011,1.99,16.7,10.4,74.6
Armenia,2012,1.91,15.9,10.7,75.1
Armenia,2013,1.91,15.1,11,75.2
Armenia,2014,1.65,14.4,11.3,75.1
Armenia,2015,1.76,13.7,11.3,75.3
Armenia,2016,1.7,13,12.1,75.5
Armenia,2017,1.89,12.4,12.7,75.6
Antigua and Barbuda,1990,4.22,26.4,15.6,74
Antigua and Barbuda,1991,4.1,24.9,15.5,74
Antigua and Barbuda,1992,4.13,23.4,16,73.4
Antigua and Barbuda,1993,3.98,22.1,16.7,73.3
Antigua and Barbuda,1994,4,20.8,15.6,73.3
Antigua and Barbuda,1995,4.18,19.7,16.3,74
Antigua and Barbuda,1996,4.3,18.6,16.8,73.5
Antigua and Barbuda,1997,4.36,17.6,17.3,74.5
Antigua and Barbuda,1998,4.42,16.7,17.6,74.7
Antigua and Barbuda,1999,4.54,15.8,18.3,74.8
Antigua and Barbuda,2000,4.51,15.1,17.2,75.1
Antigua and Barbuda,2001,4.73,14.4,17.1,75.4
Antigua and Barbuda,2002,5.09,13.7,18,75.6
Antigua and Barbuda,2003,5.25,13.1,18.7,75.7
Antigua and Barbuda,2004,5.27,12.5,19.7,75.9
Antigua and Barbuda,2005,5.36,11.9,21.9,75.9
Antigua and Barbuda,2006,5.59,11.3,23.5,75.1
Antigua and Barbuda,2007,5.63,10.8,23.1,75.2
Antigua and Barbuda,2008,5.88,10.2,20,75.8
Antigua and Barbuda,2009,5.96,9.59,18.2,75.9
Antigua and Barbuda,2010,5.75,9.04,17.6,76
Antigua and Barbuda,2011,5.8,8.52,18,76
Antigua and Barbuda,2012,5.73,8.04,17.6,76.1
Antigua and Barbuda,2013,5.7,7.64,18.1,76
Antigua and Barbuda,2014,5.84,7.29,18.6,76
Antigua and Barbuda,2015,5.9,6.97,19.4,76
Antigua and Barbuda,2016,5.89,6.69,19.8,76.1
Antigua and Barbuda,2017,5.88,6.44,21.1,76.2
Australia,1990,16.3,8.66,30.6,77.4
Australia,1991,16.4,8.15,30.4,77.6
Australia,1992,16.4,7.69,31.3,77.9
Australia,1993,16.5,7.31,32.2,78
Australia,1994,17,7.01,33,78.3
Australia,1995,17.2,6.77,33.9,78.5
Australia,1996,17.5,6.59,34.8,78.8
Australia,1997,18,6.45,36.1,79.1
Australia,1998,18.3,6.31,37.5,79.4
Australia,1999,18.5,6.19,38.5,79.7
Australia,2000,18.6,6.08,38.7,80.1
Australia,2001,18.7,5.99,39.7,80.3
Australia,2002,18.9,5.91,40.4,80.6
Australia,2003,19.3,5.82,41.6,80.9
Australia,2004,19.2,5.72,42.3,81.2
Australia,2005,19.1,5.59,42.9,81.5
Australia,2006,19.2,5.41,44.3,81.5
Australia,2007,19,5.21,45,81.7
Australia,2008,18.8,4.99,44.9,81.9
Australia,2009,18.4,4.77,45.1,82.1
Australia,2010,18,4.54,45.6,82.3
Australia,2011,17.8,4.32,46.6,82.6
Australia,2012,17.1,4.13,47,82.7
Australia,2013,16.7,3.98,47.4,82.7
Australia,2014,16.8,3.87,47.8,82.7
Australia,2015,17,3.79,48.3,83
Australia,2016,17,3.74,48.6,83
Australia,2017,16.9,3.69,49.3,82.9
