Country,Years,Co2_emissions,mortality,income ,population,life_expectancy
Albania,1990,1.31,38.9,3510,3.28M,72.6
Albania,1991,0.775,37.4,3280,3.25M,73.2
Albania,1992,0.731,35.9,3610,3.2M,73.8
Albania,1993,0.612,34.5,3930,3.15M,74.6
Albania,1994,0.67,33.2,4490,3.11M,74.6
Albania,1995,0.651,31.7,4930,3.1M,74.5
Albania,1996,0.498,30.3,4420,3.1M,72.9
Albania,1997,0.563,28.8,4840,3.11M,74.8
Albania,1998,0.956,27.4,5490,3.12M,75.1
Albania,1999,0.966,25.9,5910,3.13M,75.4
Albania,2000,1.03,24.5,6460,3.13M,76
Albania,2001,1.2,23.1,6780,3.13M,75.9
Albania,2002,1.38,21.8,7180,3.12M,75.6
Albania,2003,1.34,20.4,7610,3.1M,75.8
Albania,2004,1.38,19.2,8070,3.09M,76.2
Albania,2005,1.27,17.9,8600,3.06M,76.9
Albania,2006,1.29,16.7,9180,3.03M,77.5
Albania,2007,1.46,15.5,9940,3M,77.6
Albania,2008,1.47,14.4,10300,2.97M,78
Albania,2009,1.56,13.3,10800,2.95M,78.1
Albania,2010,1.79,12.3,11100,2.93M,78.1
Albania,2011,1.69,11.4,11300,2.91M,78.2
Albania,2012,1.69,10.7,11400,2.9M,78.3
Albania,2013,1.9,10.1,11600,2.9M,78.2
Albania,2014,1.6,9.6,11900,2.89M,78.1
Albania,2015,1.57,9.27,12300,2.89M,78.2
Albania,2016,1.61,9.02,12800,2.88M,78.3
Albania,2017,1.59,8.82,13400,2.88M,78.4
Andorra,1990,7.18,10.2,31300,56.7k,79.1
Andorra,1991,6.91,9.63,30400,58.9k,79.2
Andorra,1992,6.74,9.09,29100,61k,79.3
Andorra,1993,6.49,8.58,29000,62.7k,79.5
Andorra,1994,6.66,8.11,29200,63.9k,79.8
Andorra,1995,7.06,7.69,30400,64.4k,80
Andorra,1996,7.24,7.32,33200,64.3k,80.2
Andorra,1997,7.66,6.97,34500,64.1k,80.4
Andorra,1998,7.98,6.68,35700,64.4k,80.6
Andorra,1999,8.02,6.41,35400,65.4k,80.8
Andorra,2000,7.79,6.16,35500,67.3k,80.9
Andorra,2001,7.59,5.93,35600,70k,81.1
Andorra,2002,7.32,5.71,38600,73.2k,81.2
Andorra,2003,7.36,5.49,40600,76.3k,81.3
Andorra,2004,7.3,5.27,44500,78.9k,81.4
Andorra,2005,6.75,5.05,47800,81k,81.5
Andorra,2006,6.52,4.84,48600,82.7k,81.7
Andorra,2007,6.43,4.62,46300,83.9k,81.8
Andorra,2008,6.12,4.39,46700,84.5k,81.8
Andorra,2009,6.12,4.18,43600,84.5k,81.8
Andorra,2010,5.87,3.98,46900,83.7k,81.9
Andorra,2011,5.92,3.79,46900,82.4k,81.9
Andorra,2012,5.9,3.61,48900,80.8k,82
Andorra,2013,5.83,3.43,50200,79.2k,82
Andorra,2014,5.97,3.27,52100,78k,82
Andorra,2015,6.07,3.14,53900,77.3k,82.1
Andorra,2016,6.27,3.01,55600,77k,82.1
Andorra,2017,6.12,2.89,57600,77k,82.1
United Arab Emirates,1990,29.3,15.7,50300,1.94M,68.7
United Arab Emirates,1991,28.2,15,50300,2.05M,68.8
United Arab Emirates,1992,30.2,14.3,49800,2.17M,68.8
United Arab Emirates,1993,31.7,13.7,52800,2.29M,68.7
United Arab Emirates,1994,29,13.2,55900,2.42M,68.8
United Arab Emirates,1995,28.7,12.7,58300,2.54M,68.9
United Arab Emirates,1996,27.4,12.3,62500,2.67M,69
United Arab Emirates,1997,28.7,11.9,62500,2.81M,69.2
United Arab Emirates,1998,26.2,11.5,64300,2.97M,69.2
United Arab Emirates,1999,35.7,11.2,71200,3.13M,69.1
United Arab Emirates,2000,30.5,10.9,71800,3.3M,69.2
United Arab Emirates,2001,24.1,10.6,73000,3.48M,69.4
United Arab Emirates,2002,28.5,10.3,78100,3.71M,69.3
United Arab Emirates,2003,27.5,10,82000,4.07M,69.1
United Arab Emirates,2004,25,9.73,80200,4.59M,69.2
United Arab Emirates,2005,23,9.44,86400,5.3M,69.5
United Arab Emirates,2006,21.6,9.18,76600,6.17M,70
United Arab Emirates,2007,21.7,8.93,68800,7.09M,70.4
United Arab Emirates,2008,20.9,8.69,58400,7.92M,70.6
United Arab Emirates,2009,18.3,8.48,54900,8.55M,70.8
United Arab Emirates,2010,18.9,8.28,56100,8.95M,71
United Arab Emirates,2011,23.8,8.13,57400,9.14M,71.2
United Arab Emirates,2012,23.7,8,59900,9.2M,71.6
United Arab Emirates,2013,24.2,7.91,62400,9.21M,73
United Arab Emirates,2014,20.7,7.83,65200,9.26M,73.2
United Arab Emirates,2015,21.7,7.76,66500,9.36M,73.4
United Arab Emirates,2016,21.1,7.68,67200,9.49M,73.5
United Arab Emirates,2017,21.4,7.59,67000,9.63M,73.7
Argentina,1990,3.54,28.1,15200,33.1M,72.7
Argentina,1991,3.61,27.3,16200,33.5M,72.8
Argentina,1992,3.46,26.3,17300,34M,73
Argentina,1993,3.55,25.2,18100,34.4M,73.4
Argentina,1994,3.67,24.1,17400,34.8M,73.4
Argentina,1995,3.82,23.1,18100,35.2M,73.5
Argentina,1996,3.86,22.1,19300,35.7M,73.6
Argentina,1997,3.87,21.2,19900,36.1M,73.7
Argentina,1998,4.02,20.4,19000,36.5M,73.8
Argentina,1999,3.85,19.6,18600,36.9M,74.2
Argentina,2000,3.58,18.9,17600,37.3M,74.3
Argentina,2001,3.3,18.3,15500,37.7M,74.3
Argentina,2002,3.54,17.7,16700,38.1M,74.4
Argentina,2003,4.08,17.1,18000,38.5M,74.9
Argentina,2004,4.15,16.5,19400,38.9M,75.3
Argentina,2005,4.45,16.1,20800,39.3M,75.4
Argentina,2006,4.39,15.7,22400,39.7M,75.3
Argentina,2007,4.7,15.3,23100,40.1M,75.7
Argentina,2008,4.42,14.9,21500,40.5M,75.8
Argentina,2009,4.57,14.4,23500,40.9M,75.9
Argentina,2010,4.61,13.9,24600,41.3M,76
Argentina,2011,4.6,13.3,24100,41.8M,76.2
Argentina,2012,4.56,12.7,24400,42.2M,76.3
Argentina,2013,4.56,12.1,23600,42.6M,76.5
Argentina,2014,4.64,11.5,23900,43.1M,76.5
Argentina,2015,4.6,10.9,23200,43.5M,76.2
Argentina,2016,4.55,10.4,23600,43.9M,76.3
Argentina,2017,4.41,9.94,22800,44.4M,76.5
Armenia,1990,5.37,46.9,4620,3.51M,70.3
Armenia,1991,1.7,44.9,2740,3.44M,69.4
Armenia,1992,0.766,42.9,2550,3.36M,69
Armenia,1993,0.827,41,2760,3.28M,69.5
Armenia,1994,1.07,39.1,3010,3.22M,70.1
Armenia,1995,0.819,37.3,3230,3.17M,70.4
Armenia,1996,1.04,35.6,3380,3.13M,71.1
Armenia,1997,1.09,33.9,3650,3.11M,71.6
Armenia,1998,0.988,32.3,3800,3.09M,71.9
Armenia,1999,1.14,30.8,4050,3.07M,72.4
Armenia,2000,1.16,29.3,4460,3.05M,72.5
Armenia,2001,1.01,27.8,5080,3.03M,72.7
Armenia,2002,1.15,26.5,5820,3.02M,72.8
Armenia,2003,1.23,25.2,6470,3M,73
Armenia,2004,1.47,23.9,7420,2.98M,73
Armenia,2005,1.49,22.7,8460,2.96M,73.1
Armenia,2006,1.74,21.6,9710,2.93M,73.5
