Years,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea
1990,1.31,7.18,29.3,3.54,5.37,4.22,16.3,8.49,6.93,0.0428,12.3,0.154,0.0693,0.14,6.98,23.3,7.07,7.5,0,4.64,10.6,3.98,0.277,0.157,0.199,0.176,0.152
1991,0.775,6.91,28.2,3.61,1.7,4.1,16.4,7.72,7.52,0.0381,12.2,0.162,0.0678,0.143,6.57,20.8,6.96,7.28,0.977,4.91,10.3,2.88,0.234,0.158,0.193,0.176,0.148
1992,0.731,6.74,30.2,3.46,0.766,4.13,16.4,7.71,6.39,0.0392,12,0.197,0.0656,0.146,6.72,27.3,6.49,6.9,0.953,4.83,10.1,1.91,0.268,0.158,0.197,0.176,0.151
1993,0.612,6.49,31.7,3.55,0.827,3.98,16.5,7.71,5.46,0.0398,12.3,0.214,0.0658,0.156,6.61,26.9,6.34,6.79,0.968,4.14,9.97,1.19,0.308,0.159,0.191,0.172,0.161
1994,0.67,6.66,29,3.67,1.07,4,17,8.05,4.29,0.0398,12.4,0.216,0.0619,0.183,6.88,26.3,6.22,6.88,0.989,4.25,9.79,0.461,0.303,0.16,0.192,0.168,0.17
1995,0.651,7.06,28.7,3.82,0.819,4.18,17.2,8.45,3.98,0.0399,12.7,0.202,0.068,0.183,7,27,6.09,7.13,0.982,4.27,10.1,0.837,0.313,0.166,0.189,0.165,0.249
1996,0.498,7.24,27.4,3.86,1.04,4.3,17.5,8.41,3.76,0.0407,12.1,0.191,0.0753,0.193,6.78,29.1,5.32,6.98,1.01,4.19,9.65,0.94,0.347,0.168,0.186,0.178,0.567
1997,0.563,7.66,28.7,3.87,1.09,4.36,18,8.35,3.97,0.0403,12.7,0.185,0.0783,0.189,6.54,30,6.57,7.29,1.08,4.24,9.71,1.08,0.341,0.174,0.195,0.149,0.328
1998,0.956,7.98,26.2,4.02,0.988,4.42,18.3,8.17,3.55,0.0404,12.2,0.232,0.0811,0.2,5.74,28.3,6.65,7.19,1.02,4,9.55,0.968,0.339,0.178,0.215,0.165,0.838
1999,0.966,8.02,35.7,3.85,1.14,4.54,18.5,8.22,3.64,0.0425,12.3,0.229,0.0889,0.208,5.66,28.3,6.55,7.06,1.16,3.8,9.63,1.03,0.317,0.181,0.209,0.122,0.756
