Years,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia
1990,2.91,,4.25,2.95,2.48,2.07,1.86
1991,2.83,,4.04,2.91,2.4,2.1,1.87
1992,2.75,,3.83,2.87,2.3,2.13,1.85
1993,2.67,,3.62,2.82,2.18,2.17,1.84
1994,2.59,,3.42,2.76,1.8,2.21,1.82
1995,2.51,,3.23,2.71,1.8,2.25,1.81
1996,2.42,,3.06,2.66,1.7,2.28,1.79
1997,2.33,,2.91,2.62,1.5,2.3,1.77
1998,2.25,,2.77,2.59,1.4,2.32,1.76
1999,2.16,,2.64,2.56,1.3,2.32,1.76
2000,2.07,,2.53,2.54,1.2,2.31,1.76
2001,1.98,,2.43,2.52,1.2,2.29,1.78
2002,1.9,,2.33,2.5,1.4,2.27,1.79
2003,1.82,,2.24,2.47,1.4,2.25,1.82
2004,1.75,,2.15,2.45,1.4,2.22,1.86
2005,1.7,,2.07,2.43,1.3,2.2,1.89
2006,1.67,,2.01,2.41,1.4,2.18,1.92
2007,1.65,,1.95,2.4,1.4,2.16,1.94
2008,1.65,,1.9,2.38,1.6,2.15,1.94
2009,1.65,,1.87,2.37,1.55,2.13,1.93
2010,1.67,,1.84,2.36,1.5,2.12,1.92
2011,1.69,,1.82,2.35,1.73,2.1,1.9
2012,1.7,,1.8,2.34,1.71,2.09,1.89
2013,1.71,,1.78,2.32,1.69,2.08,1.87
2014,1.71,,1.77,2.31,1.66,2.06,1.86
2015,1.71,,1.75,2.29,1.63,2.05,1.85
2016,1.71,,1.73,2.28,1.6,2.04,1.84
2017,1.71,,1.72,2.26,1.6,2.03,1.83
