Years,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia
1990,72.6,79.1,68.7,72.7,70.3,74,77.4
1991,73.2,79.2,68.8,72.8,69.4,74,77.6
1992,73.8,79.3,68.8,73,69,73.4,77.9
1993,74.6,79.5,68.7,73.4,69.5,73.3,78
1994,74.6,79.8,68.8,73.4,70.1,73.3,78.3
1995,74.5,80,68.9,73.5,70.4,74,78.5
1996,72.9,80.2,69,73.6,71.1,73.5,78.8
1997,74.8,80.4,69.2,73.7,71.6,74.5,79.1
1998,75.1,80.6,69.2,73.8,71.9,74.7,79.4
1999,75.4,80.8,69.1,74.2,72.4,74.8,79.7
2000,76,80.9,69.2,74.3,72.5,75.1,80.1
2001,75.9,81.1,69.4,74.3,72.7,75.4,80.3
2002,75.6,81.2,69.3,74.4,72.8,75.6,80.6
2003,75.8,81.3,69.1,74.9,73,75.7,80.9
2004,76.2,81.4,69.2,75.3,73,75.9,81.2
2005,76.9,81.5,69.5,75.4,73.1,75.9,81.5
2006,77.5,81.7,70,75.3,73.5,75.1,81.5
2007,77.6,81.8,70.4,75.7,73.5,75.2,81.7
2008,78,81.8,70.6,75.8,73.6,75.8,81.9
2009,78.1,81.8,70.8,75.9,73.9,75.9,82.1
2010,78.1,81.9,71,76,74.2,76,82.3
2011,78.2,81.9,71.2,76.2,74.6,76,82.6
2012,78.3,82,71.6,76.3,75.1,76.1,82.7
2013,78.2,82,73,76.5,75.2,76,82.7
2014,78.1,82,73.2,76.5,75.1,76,82.7
2015,78.2,82.1,73.4,76.2,75.3,76,83
2016,78.3,82.1,73.5,76.3,75.5,76.1,83
2017,78.4,82.1,73.7,76.5,75.6,76.2,82.9
