Years,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia
1990,3510,31300,50300,15200,4620,15600,30600
1991,3280,30400,50300,16200,2740,15500,30400
1992,3610,29100,49800,17300,2550,16000,31300
1993,3930,29000,52800,18100,2760,16700,32200
1994,4490,29200,55900,17400,3010,15600,33000
1995,4930,30400,58300,18100,3230,16300,33900
1996,4420,33200,62500,19300,3380,16800,34800
1997,4840,34500,62500,19900,3650,17300,36100
1998,5490,35700,64300,19000,3800,17600,37500
1999,5910,35400,71200,18600,4050,18300,38500
2000,6460,35500,71800,17600,4460,17200,38700
2001,6780,35600,73000,15500,5080,17100,39700
2002,7180,38600,78100,16700,5820,18000,40400
2003,7610,40600,82000,18000,6470,18700,41600
2004,8070,44500,80200,19400,7420,19700,42300
2005,8600,47800,86400,20800,8460,21900,42900
2006,9180,48600,76600,22400,9710,23500,44300
2007,9940,46300,68800,23100,10500,23100,45000
2008,10300,46700,58400,21500,9050,20000,44900
2009,10800,43600,54900,23500,9290,18200,45100
2010,11100,46900,56100,24600,9730,17600,45600
2011,11300,46900,57400,24100,10400,18000,46600
2012,11400,48900,59900,24400,10700,17600,47000
2013,11600,50200,62400,23600,11000,18100,47400
2014,11900,52100,65200,23900,11300,18600,47800
2015,12300,53900,66500,23200,11300,19400,48300
2016,12800,55600,67200,23600,12100,19800,48600
2017,13400,57600,67000,22800,12700,21100,49300
