Years,Albania,Andorra,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia
1990,38.9,10.2,15.7,28.1,46.9,26.4,8.66
1991,37.4,9.63,15,27.3,44.9,24.9,8.15
1992,35.9,9.09,14.3,26.3,42.9,23.4,7.69
1993,34.5,8.58,13.7,25.2,41,22.1,7.31
1994,33.2,8.11,13.2,24.1,39.1,20.8,7.01
1995,31.7,7.69,12.7,23.1,37.3,19.7,6.77
1996,30.3,7.32,12.3,22.1,35.6,18.6,6.59
1997,28.8,6.97,11.9,21.2,33.9,17.6,6.45
1998,27.4,6.68,11.5,20.4,32.3,16.7,6.31
1999,25.9,6.41,11.2,19.6,30.8,15.8,6.19
2000,24.5,6.16,10.9,18.9,29.3,15.1,6.08
2001,23.1,5.93,10.6,18.3,27.8,14.4,5.99
2002,21.8,5.71,10.3,17.7,26.5,13.7,5.91
2003,20.4,5.49,10,17.1,25.2,13.1,5.82
2004,19.2,5.27,9.73,16.5,23.9,12.5,5.72
2005,17.9,5.05,9.44,16.1,22.7,11.9,5.59
2006,16.7,4.84,9.18,15.7,21.6,11.3,5.41
2007,15.5,4.62,8.93,15.3,20.5,10.8,5.21
2008,14.4,4.39,8.69,14.9,19.5,10.2,4.99
2009,13.3,4.18,8.48,14.4,18.5,9.59,4.77
2010,12.3,3.98,8.28,13.9,17.6,9.04,4.54
2011,11.4,3.79,8.13,13.3,16.7,8.52,4.32
2012,10.7,3.61,8,12.7,15.9,8.04,4.13
2013,10.1,3.43,7.91,12.1,15.1,7.64,3.98
2014,9.6,3.27,7.83,11.5,14.4,7.29,3.87
2015,9.27,3.14,7.76,10.9,13.7,6.97,3.79
2016,9.02,3.01,7.68,10.4,13,6.69,3.74
2017,8.82,2.89,7.59,9.94,12.4,6.44,3.69
